25814707,120,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
1300299,121,关于连环杀人悬案的集体回忆。
3011235,122,10年的完美句点。
10777687,123,《我是山姆》的《美丽人生》。
1292274,124,有时候幸福需要等一等。
1292208,125,被上帝抛弃了的上帝之城。
3395373,126,诺兰就是保证。
4202302,127,曾经的那段美好会沉淀为一辈子的记忆。
5989818,128,触不到的恋人。
1306249,129,华太师是黄霑，吴镇宇四大才子之一。
11026735,130,Balalala~~~
3287562,131,Mr. I Don't Care其实也有Care的时候。
25958717,132,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
1292337,133,我的平常生活就是他人的幸福。
1291579,134,不要给它起名字，起了名字就有感情了。
3792799,135,岁月流逝，来日可追。
1417598,136,真相就在眼前。
1858711,137,跨度十五年的欢乐与泪水。
1578507,138,像吃了苏打饼一样干脆的电影。
1295399,139,时代悲歌。
1907966,140,老少皆宜，这就是好莱坞动画的魅力。
26325320,141,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
1303037,142,中国家庭的喜怒哀乐忍。
1297574,143,英雄泪短，兄弟情长。
1292401,144,爱，是个动词。
1292328,145,电影诗。
1293318,146,幸福是生生不息，却难以触及的远。
2209573,147,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
1418200,148,爱是摈弃傲慢与偏见之后的曙光。
10577869,149,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
1978709,150,黑暗之美。
1304447,151,一个针管引发的血案。
25917973,152,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
1295409,153,香港浪漫主义警匪动作片的巅峰之作。
1294240,154,任何信念的力量，都无法改变命运。
24750126,155,始于荒诞，止于更荒诞。
1300992,156,坏人的好总是比好人的好来得更感人。
1793929,157,Jared Leto的腿比女人还美！
1291870,158,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
1291557,159,偷情本没有这样美。
26611804,160,怼天怼地，你走后，她与世界为敌。
6307447,161,热血沸腾，那个低俗、性感的无耻混蛋又来了。
1291822,162,当这个世界闭上双眼，他却敞开了怀抱。
25980443,163,我们都有权利不与自己的过去和解。
26683290,164,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
4848115,165,感情不分食草或者食肉。
1309163,166,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
10533913,167,愿我们都不用长大，每一座城堡都能永远存在。
1306861,168,爱并不需要智商 。
1296909,169,永远看不腻的喜剧。
6534248,170,迪士尼和皮克斯拿错剧本的产物。
26430107,171,有一些东西不应该被遗忘。
1291578,172,松鼠才是角儿。
3443389,173,大海啊，不全是水。
1293460,174,骨灰级歌舞片。
25773932,175,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
1395091,176,好的剧本是，就算你猜到了结局也猜不到全部。
10463953,177,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
